tracking_number,timestamp,video_path,status
ADVANTAGEE,2025-08-04_15-10-08,videos\ADVANTAGEE_2025-08-04_15-10-08.mp4,shipped
ADVANTAGET,2025-08-04_15-10-20,videos\ADVANTAGET_2025-08-04_15-10-20.mp4,shipped
20852-2907,2025-08-04_15-12-00,videos\20852-2907_2025-08-04_15-12-00.mp4,shipped
20852-2007,2025-08-04_15-12-05,videos\20852-2007_2025-08-04_15-12-05.mp4,shipped
7GROUNOTSAV,2025-08-04_15-21-22,videos\7GROUNOTSAV_2025-08-04_15-21-22.mp4,shipped
18191-1605,2025-08-04_15-21-27,videos\18191-1605_2025-08-04_15-21-27.mp4,shipped
TWA9819412,2025-08-04_15-21-33,videos\TWA9819412_2025-08-04_15-21-33.mp4,shipped
Fedet | 8823 - | 1S08 - | 1348 | 0018 | (ooo | O00 | Ooo0) | 08406 | 8823 | 1818,2025-08-04_16-00-23,videos\2025-08-04_16-00-23.mp4,shipped
Take | 0 00 | 8823 | 1808 = | 1348 | 9632 | 0019 | (000 | 000 | O000) | 08406 | 8823 | 1808 | 1348,2025-08-04_16-00-28,videos\2025-08-04_16-00-28.mp4,shipped
1zt S1 | JSPS | Comu | 028140002310213 | Iptco | SUACHARGE | GROUND | HOU | 1005711652 | ADVANTAGET | 03112-2720 | 0001 | MARibeth | 5817 | Edsoni | RockViLLE | HARRINGTON | @ozo] | APT | 101 | 20852 | -2907 | {UsPs | TRACKING 4 | 9400 | 01092 | 0831 | 6588 | 10765,2025-08-04_16-00-58,videos\2025-08-04_16-00-58.mp4,shipped
"113 $ | NJ , | Yatlhan | Iohen | (satesPATE; | Cohen | (8iPnE38 | Frankfort | 362317 | Ventnor | BILL | Sender | Ave | 7543j2z88 | City = | 946- | -0790 | 08406 | (US) | FedEx | Taka | drund | 8823 = | 1808= | 1348 | 9632 | 0019 | (000 | 000 | 0000)",2025-08-04_16-01-54,videos\2025-08-04_16-01-54.mp4,shipped
9261 2903 7774 2520 0248 88,2025-08-04_16-02-42,videos\2025-08-04_16-02-42.mp4,shipped
4nu | 04t910antun | UIpa | TaACANO | 9761 | 7903 | 7570,2025-08-04_16-02-52,videos\2025-08-04_16-02-52.mp4,shipped
USPS TRACKING # e~VS | 0248 88 | 9261 | 2903 | 7774 | 2520,2025-08-04_16-03-04,videos\2025-08-04_16-03-04.mp4,shipped
#e-VS | USPS | TRACKING | 9261 | 2903 | 7774 | 2520 | 0248,2025-08-04_16-03-33,videos\2025-08-04_16-03-33.mp4,shipped
e-VS | # e-VS | USPS | TRACKING | 9261 | 2903 | 7774 | 2520 | 0248,2025-08-04_16-03-38,videos\2025-08-04_16-03-38.mp4,shipped
C~VS | # e-VS | USPS | TRACKING | 9261 | 2903 | 7774 | 2520 | 0248,2025-08-04_16-03-44,videos\2025-08-04_16-03-44.mp4,shipped
e - | # e-VS | USPS | TRACKING | 9261 | 2903 | 7774 | 2520 | 0248,2025-08-04_16-03-49,videos\2025-08-04_16-03-49.mp4,shipped
"113 | 7095 | Quential | Jonathan | dson | 7(445) | Jonathan | 946- | DrIve | ""75081 | -0799 | Cohen | Frankfort | Cohen | Ventnor = | IE8 | 445) | 946 | Ave | BILL | -0798 | 624m25 | 'sender | 754r]?788 | 08406 | PEFEPENCIAS | TrKI | (US) | '8823 = | FedEx | '1808 | @ror | 1348 | 9632 | 0019 | (00",2025-08-04_16-06-42,videos\2025-08-04_16-06-42.mp4,shipped
8825334990218295,2025-08-04_17-50-13,videos\8825334990218295_2025-08-04_17-50-13.mp4,shipped
8848081689,2025-08-04_18-00-44,videos\8848081689_2025-08-04_18-00-44.mp4,shipped
0082116448,2025-08-04_18-01-17,videos\0082116448_2025-08-04_18-01-17.mp4,shipped
89210010104,2025-08-04_18-01-39,videos\89210010104_2025-08-04_18-01-39.mp4,shipped
8121032021,2025-08-04_18-01-48,videos\8121032021_2025-08-04_18-01-48.mp4,shipped
0802310001348,2025-08-05_08-55-02,videos\0802310001348_2025-08-05_08-55-02.mp4,shipped
"=""10*304*01E""",2025-08-06_08-50-40,videos\10*304*01E_2025-08-06_08-50-40.mp4,shipped
"=""91021022.0221E24401e50s""",2025-08-06_08-50-51,videos\91021022.0221E24401e50s_2025-08-06_08-50-51.mp4,shipped
"=""2121022012LES02e5""",2025-08-06_08-50-59,videos\2121022012LES02e5_2025-08-06_08-50-59.mp4,shipped
"=""210241022.0111.452071s0""",2025-08-06_08-51-03,videos\210241022.0111.452071s0_2025-08-06_08-51-03.mp4,shipped
"=""502022001165e07854""",2025-08-06_08-51-07,videos\502022001165e07854_2025-08-06_08-51-07.mp4,shipped
"=""882318081348""",2025-08-06_13-40-00,videos\882318081348_2025-08-06_13-40-00.mp4,shipped
"=""391225071082""",2025-08-06_13-40-25,videos\391225071082_2025-08-06_13-40-25.mp4,shipped
"=""9261290377742520024888""",2025-08-06_13-40-41,videos\9261290377742520024888_2025-08-06_13-40-41.mp4,shipped
"=""9261290377742520024888""",2025-08-06_13-41-37,videos\9261290377742520024888_2025-08-06_13-41-37.mp4,shipped
